date		time		name		ask	bid
27.10.2016	13:16:12	Tesla Motors	212.78	212.25
27.10.2016	13:17:13	Tesla Motors	212.78	212.50
27.10.2016	13:18:13	Tesla Motors	212.35	212.25
27.10.2016	13:19:14	Tesla Motors	212.15	211.11
27.10.2016	13:20:14	Tesla Motors	212.15	211.21
27.10.2016	13:21:15	Tesla Motors	212.15	211.21
27.10.2016	13:22:15	Tesla Motors	212.35	211.50
27.10.2016	13:23:16	Tesla Motors	212.35	211.40
27.10.2016	13:24:17	Tesla Motors	212.25	211.40
27.10.2016	13:25:18	Tesla Motors	212.25	212.00
27.10.2016	13:26:19	Tesla Motors	212.55	212.20
27.10.2016	13:27:21	Tesla Motors	212.55	212.20
27.10.2016	13:28:22	Tesla Motors	212.68	212.20
27.10.2016	13:29:23	Tesla Motors	212.68	212.29
27.10.2016	13:30:24	Tesla Motors	212.68	212.29
27.10.2016	13:31:24	Tesla Motors	212.68	212.29
27.10.2016	13:32:25	Tesla Motors	212.68	212.30
27.10.2016	13:33:25	Tesla Motors	212.68	212.29
27.10.2016	13:34:26	Tesla Motors	212.68	212.29
27.10.2016	13:35:26	Tesla Motors	212.50	212.00
27.10.2016	13:36:27	Tesla Motors	212.40	212.00
27.10.2016	13:37:28	Tesla Motors	212.40	211.50
27.10.2016	13:38:29	Tesla Motors	212.40	211.50
27.10.2016	13:39:29	Tesla Motors	212.00	211.50
